1,0,24.1,26.0
Ångström bar experiment:
Date: 28-9-2024
Start time: 13:37:50
Time   ,Heater status  ,Temp P   ,Temp Q   
841,0,26.8,30.0
846,0,27.0,29.8
851,0,26.9,29.9
856,0,27.0,29.9
861,0,27.0,29.9
866,0,27.0,29.8
871,0,27.0,29.7
876,0,27.0,29.6
881,0,27.0,29.7
886,0,27.0,29.6
891,0,27.1,29.5
896,1,27.0,29.4
901,1,27.0,29.5
906,1,27.0,29.3
911,1,27.0,29.1
916,1,27.0,29.2
921,1,27.1,29.1
926,1,27.0,28.9
931,1,27.1,28.9
936,1,27.0,28.8
941,1,26.9,28.9
946,1,26.9,28.6
951,1,26.8,28.8
956,1,26.9,28.6
961,1,27.0,28.6
966,1,26.8,28.6
971,1,26.8,28.5
976,1,26.8,28.5
981,1,26.8,28.6
986,1,26.6,28.5
991,1,26.8,28.6
996,1,26.7,28.7
1001,1,26.7,28.8
1006,1,26.8,28.9
1011,1,26.7,28.8
1016,1,26.8,28.9
1021,1,26.7,28.9
1026,1,26.8,29.0
1031,1,26.6,29.1
1036,1,26.8,29.1
1041,1,27.0,29.3
1046,1,26.8,29.3
1051,0,26.8,29.4
1056,0,26.9,29.6
1061,0,26.9,29.5
1066,0,26.8,29.6
1071,0,26.8,29.8
1076,0,26.9,29.8
1081,0,27.0,29.8
1086,0,26.9,29.9
1091,0,27.0,30.1
1096,0,27.1,30.2
1101,0,27.0,30.2
1106,0,27.1,30.2
1111,0,27.1,30.3
1116,0,27.2,30.4
1121,0,27.1,30.3
1126,0,27.2,30.3
1131,0,27.3,30.5
1136,0,27.3,30.3
1141,0,27.3,30.3
1146,0,27.3,30.4
1151,0,27.3,30.1
1156,0,27.3,30.2
1161,0,27.4,30.2
1166,0,27.3,30.1
1171,0,27.4,30.2
1176,0,27.4,30.0
1181,0,27.5,30.0
1186,0,27.4,29.9
1191,1,27.4,29.8
1196,1,27.3,29.8
1201,1,27.4,29.6
1206,1,27.5,29.6
1211,1,27.5,29.5
1216,1,27.3,29.5
1221,1,27.2,29.4
1226,1,27.4,29.3
1231,1,27.3,29.2
1236,1,27.3,29.1
1241,1,27.3,29.2
1246,1,27.3,28.9
1251,1,27.3,29.1
1256,1,27.2,29.0
1261,1,27.2,29.0
1266,1,27.3,29.0
1271,1,27.1,28.8
1276,1,27.1,29.0
1281,1,27.1,28.9
1286,1,27.1,28.9
1291,1,27.1,29.1
1296,1,27.1,29.1
1301,1,27.1,29.1
1306,1,27.0,29.3
1311,1,27.1,29.2
1316,1,27.0,29.3
1321,1,27.1,29.3
1326,1,27.1,29.4
1331,1,27.1,29.5
1336,1,27.1,29.6
1341,1,27.0,29.6
1346,0,27.1,29.7
1351,0,27.0,29.9
1356,0,27.1,29.8
1361,0,27.2,30.0
1366,0,27.3,30.0
1371,0,27.2,30.1
1376,0,27.3,30.2
1381,0,27.3,30.3
1386,0,27.3,30.4
1391,0,27.3,30.5
1396,0,27.3,30.5
1401,0,27.5,30.5
1406,0,27.4,30.5
1411,0,27.4,30.7
1416,0,27.4,30.6
1421,0,27.5,30.5
1426,0,27.6,30.5
1431,0,27.6,30.6
1436,0,27.5,30.6
1441,0,27.6,30.5
1446,0,27.6,30.5
1451,0,27.6,30.5
1456,0,27.7,30.4
1461,0,27.6,30.5
1466,0,27.7,30.2
1471,0,27.6,30.3
1476,0,27.6,30.3
1481,0,27.6,30.1
1486,1,27.6,30.1
1491,1,27.7,30.0
